cap,color,drive,fuel,km,make,model,power,price,trans,year
5461cm3,Niebieski,4x4dołączanyautomatycznie,Benzyna,20500km,MercedesBenz,KlasaS,585KM,650000,Automatyczna,2016
2960cm3,Zielony,Natylnekoła,Benzyna,198500km,Nissan,300ZX,268KM,38900,Manualna,1994
1997cm3,Szary,Natylnekoła,Benzyna,263253km,Honda,S2000,240KM,49900,Manualna,2004
1990cm3,Czerwony,Natylnekoła,Benzyna,176000km,BMW,Seria3,129KM,74000,Manualna,1990
1595cm3,Niebieski,Naprzedniekoła,BenzynaLPG,140000km,Volkswagen,NewBeetle,102KM,19500,Manualna,2006
3201cm3,Czerwony,Natylnekoła,Benzyna,273000km,BMW,M3,321KM,97000,Manualna,1997
4663cm3,Czarny,Natylnekoła,Benzyna,9537km,MercedesBenz,SL,435KM,329900,Automatyczna,2012
2000cm3,Biały,Natylnekoła,Benzyna,17200km,BMW,Z4,272KM,205000,Automatyczna,2019
1998cm3,Innykolor,Naprzedniekoła,Benzyna,74000km,MINI,CooperS,192KM,107700,Automatyczna,2017
1560cm3,Bordowy,Naprzedniekoła,Diesel,194000km,Peugeot,308CC,110KM,31800,Manualna,2011
2979cm3,Biały,Natylnekoła,Benzyna,75000km,BMW,M4,560KM,185000,Automatyczna,2016
1781cm3,Czarny,Naprzedniekoła,Benzyna,194258km,Audi,TT,180KM,16500,Manualna,2000
1997cm3,Czarny,Naprzedniekoła,Benzyna,195000km,Peugeot,307CC,138KM,12900,Manualna,2005
1398cm3,Srebrny,Naprzedniekoła,Diesel,267800km,Citroën,C3Pluriel,68KM,7900,Manualna,2006
6162cm3,Czarny,Natylnekoła,Benzyna,48000km,Chevrolet,Camaro,453KM,229000,Automatyczna,2018
2497cm3,Złoty,Naprzedniekoła,Benzyna,137900km,Chrysler,Stratus,163KM,16900,Automatyczna,1998
1997cm3,Szary,Naprzedniekoła,Benzyna,185000km,Peugeot,307CC,180KM,9499,Manualna,2004
1600cm3,Biały,Naprzedniekoła,Benzyna,200000km,Volkswagen,Golf,80KM,34000,Manualna,1983
1364cm3,Srebrny,Naprzedniekoła,Benzyna,166321km,Opel,Tigra,90KM,12500,Manualna,2005
4939cm3,Złoty,Natylnekoła,Benzyna,173361km,MercedesBenz,SL,223KM,120000,Automatyczna,1987
1997cm3,Innykolor,Natylnekoła,Benzyna,55000km,BMW,Z4,245KM,135000,Automatyczna,2014
1598cm3,Niebieski,Natylnekoła,Benzyna,204350km,Mazda,MX5,110KM,22900,Manualna,1999
1598cm3,Srebrny,Naprzedniekoła,Benzyna,216000km,Opel,Astra,101KM,5500,Manualna,2002
3246cm3,Biały,Natylnekoła,Benzyna,130000km,BMW,M3,343KM,149900,Manualna,2005
2979cm3,Czarny,Natylnekoła,Benzyna,99999km,BMW,Z4,340KM,73999,Automatyczna,2011
1998cm3,Czerwony,Natylnekoła,Benzyna,43000km,Mazda,MX5,160KM,60500,Manualna,2016
1799cm3,Innykolor,Naprzedniekoła,Benzyna,266558km,Opel,Astra,115KM,11500,Manualna,1997
1995cm3,Srebrny,Natylnekoła,Benzyna,130000km,BMW,Seria3,143KM,39900,Manualna,2004
2995cm3,Szary,4x4stały,Benzyna,69584km,Audi,S5,333KM,174999,Automatyczna,2015
1390cm3,Srebrny,Naprzedniekoła,Benzyna,,Volkswagen,Golf,160KM,37000,Manualna,2012
4966cm3,Srebrny,Natylnekoła,Benzyna,68500km,MercedesBenz,SL,306KM,105899,Automatyczna,2003
1998cm3,Szary,Naprzedniekoła,Benzyna,160000km,Renault,Megane,135KM,11800,Manualna,2006
3300cm3,Czarny,Natylnekoła,Benzyna,60000km,Porsche,911,300KM,750000,Manualna,1988
2976cm3,Czarny,Naprzedniekoła,Benzyna,245000km,Audi,A4,220KM,24900,Automatyczna,2004
4973cm3,Niebieski,Natylnekoła,Benzyna,130000km,MercedesBenz,SL,326KM,67999,Automatyczna,1992
2996cm3,Czarny,4x4stały,Benzyna,75000km,MercedesBenz,KlasaC,367KM,185000,Automatyczna,2016
2981cm3,Czarny,4x4stały,Benzyna,10100km,Porsche,911,450KM,946000,Automatyczna,2021
4966cm3,Czarny,Natylnekoła,Benzyna,120000km,MercedesBenz,SL,306KM,45000,Automatyczna,2003
1149cm3,Czarny,Naprzedniekoła,Benzyna,135000km,Renault,Wind,100KM,27500,Manualna,2010
2300cm3,Czarny,Natylnekoła,Benzyna,122000km,Ford,Mustang,317KM,94000,Automatyczna,2016
1496cm3,Czerwony,Naprzedniekoła,Benzyna,93312km,Toyota,Paseo,90KM,21900,Manualna,1997
1999cm3,Niebieski,Natylnekoła,Benzyna,120000km,Mazda,MX5,160KM,46800,Manualna,2008
2993cm3,Szary,4x4dołączanyautomatycznie,Diesel,10km,BMW,Seria4,340KM,411200,Automatyczna,2021
1781cm3,Czerwony,Naprzedniekoła,Benzyna,255664km,Audi,TT,150KM,19900,Manualna,2001
1598cm3,Czarny,Naprzedniekoła,Benzyna,215231km,Volkswagen,Eos,115KM,15900,Manualna,2007
3614cm3,Czarny,Natylnekoła,Benzyna,173000km,Porsche,911,345KM,199999,Manualna,2003
3387cm3,Czarny,Natylnekoła,Benzyna,62100km,Porsche,911,300KM,96000,Automatyczna,1999
1910cm3,Beżowy,Naprzedniekoła,Diesel,250000km,Opel,Astra,150KM,16500,Manualna,2007
1995cm3,Czarny,Natylnekoła,Benzyna,77000km,BMW,Seria3,170KM,79900,Automatyczna,2011
1998cm3,Czerwony,Natylnekoła,Benzyna,23000km,BMW,Z4,258KM,246900,Automatyczna,2019
1796cm3,Czarny,Naprzedniekoła,Benzyna,182130km,Opel,Tigra,125KM,8900,Manualna,2005
1364cm3,Czerwony,Naprzedniekoła,Benzyna,173000km,Opel,Tigra,90KM,11999,Manualna,2005
4565cm3,Czerwony,Naprzedniekoła,Benzyna,192000km,Cadillac,Allante,299KM,50000,Automatyczna,1989
2494cm3,Szary,Natylnekoła,Benzyna,162000km,BMW,Z4,192KM,38900,Manualna,2003
1781cm3,Czarny,Naprzedniekoła,Benzyna,228000km,Volkswagen,Golf,75KM,8000,Manualna,1999
4973cm3,Srebrny,Natylnekoła,Benzyna,77000km,MercedesBenz,SL,326KM,84000,Automatyczna,1991
1995cm3,Czarny,Natylnekoła,Benzyna,195000km,BMW,Z4,150KM,32500,Manualna,2006
4146cm3,Szary,Natylnekoła,Benzyna,138608km,MercedesBenz,SL,204KM,69000,Automatyczna,1986
1598cm3,Żółty,Naprzedniekoła,Benzyna,163000km,Mazda,MX5,110KM,19999,Manualna,2001
3855cm3,Czarny,Natylnekoła,Benzyna,1960km,Ferrari,Portofino,600KM,1230000,Automatyczna,2018
2000cm3,Czarny,Naprzedniekoła,Diesel,267000km,Peugeot,307CC,136KM,14900,Manualna,2006
5344cm3,Złoty,Natylnekoła,Benzyna,105000km,Jaguar,XJS,322KM,27502,Automatyczna,1987
1598cm3,Zielony,Naprzedniekoła,Benzyna,108000km,Opel,Astra,75KM,14999,Automatyczna,1998
1598cm3,Srebrny,Natylnekoła,Benzyna,86440km,Mazda,MX5,110KM,19900,Manualna,2004
1598cm3,Szary,Naprzedniekoła,Benzyna,97309km,Peugeot,207CC,120KM,13500,Manualna,2007
3000cm3,Szary,Natylnekoła,Benzyna,31900km,MercedesBenz,KlasaE,367KM,289000,Automatyczna,2019
1968cm3,Czarny,Naprzedniekoła,Diesel,173000km,Audi,A5,170KM,46900,Manualna,2010
2000cm3,Czarny,Natylnekoła,Benzyna,6400km,Porsche,718Boxster,300KM,186000,Automatyczna,2017
3199cm3,Czerwony,Natylnekoła,Benzyna,77752km,MercedesBenz,SLK,218KM,48000,Automatyczna,2003
1796cm3,Fioletowy,Natylnekoła,Benzyna,240000km,BMW,Seria3,115KM,25000,Manualna,1995
1968cm3,Czarny,Naprzedniekoła,Diesel,209430km,Volkswagen,Eos,140KM,17999,Manualna,2007
1956cm3,Szary,Naprzedniekoła,Diesel,190000km,Opel,Cascada,165KM,41500,Automatyczna,2013
1998cm3,Zielony,Naprzedniekoła,Benzyna,5km,MINI,JohnCooperWorks,231KM,192104,Automatyczna,2021
1587cm3,Srebrny,Naprzedniekoła,Benzyna,168000km,Peugeot,206CC,110KM,6900,Manualna,2002
1598cm3,Czarny,Natylnekoła,Benzyna,188182km,Mazda,MX5,110KM,27900,Manualna,2002
2189cm3,Biały,Naprzedniekoła,Benzyna,139700km,Chevrolet,Cavalier,97KM,20500,Automatyczna,1988
2979cm3,Złoty,Natylnekoła,Benzyna,118000km,BMW,Seria1,306KM,68900,Automatyczna,2010
6162cm3,Szary,Natylnekoła,Benzyna,37281km,Chevrolet,Corvette,466KM,335000,Automatyczna,2016
1998cm3,Biały,Natylnekoła,Benzyna,16000km,Mazda,MX5,184KM,141900,Manualna,2021
1997cm3,Niebieski,Naprzedniekoła,Benzyna,213000km,Peugeot,307CC,138KM,9900,Automatyczna,2004
2979cm3,Czarny,Natylnekoła,Benzyna,115000km,BMW,Seria1,306KM,72000,Automatyczna,2011
1242cm3,Żółty,Naprzedniekoła,Benzyna,124500km,Fiat,Punto,60KM,17000,Manualna,1999
4966cm3,Czarny,Natylnekoła,Benzyna,103281km,MercedesBenz,SL,306KM,117900,Automatyczna,2002
1968cm3,Srebrny,Naprzedniekoła,Diesel,266000km,Audi,A4,140KM,19900,Manualna,2007
2261cm3,Niebieski,Naprzedniekoła,Benzyna,70000km,Ford,Mustang,289KM,123500,Automatyczna,2019
2979cm3,Srebrny,Natylnekoła,Benzyna,195000km,BMW,Seria3,231KM,38900,Automatyczna,2004
4951cm3,Czerwony,Natylnekoła,Benzyna,137000km,Ford,Mustang,421KM,103500,Automatyczna,2016
1595cm3,Niebieski,Naprzedniekoła,Benzyna,186400km,Volkswagen,NewBeetle,102KM,15500,Manualna,2003
1598cm3,Szary,Naprzedniekoła,Benzyna,189000km,Renault,Megane,115KM,12900,Manualna,2005
1598cm3,Czarny,Naprzedniekoła,Benzyna,181000km,Opel,Astra,105KM,16900,Manualna,2006
1984cm3,Biały,Naprzedniekoła,Benzyna,112000km,Audi,A5,211KM,33900,Manualna,2010
3245cm3,Czerwony,Natylnekoła,Benzyna,174000km,BMW,M3,344KM,125000,Manualna,2001
2494cm3,Srebrny,Natylnekoła,Benzyna,163000km,BMW,Seria3,192KM,45000,Automatyczna,2005
1587cm3,Srebrny,Naprzedniekoła,Benzyna,180000km,Peugeot,206CC,110KM,6750,Manualna,2003
1400cm3,Niebieski,Naprzedniekoła,Benzyna,132800km,Opel,Tigra,106KM,11000,Manualna,2005
4691cm3,Niebieski,Natylnekoła,Benzyna,57000km,Maserati,GranCabrio,440KM,250000,Automatyczna,2010
1910cm3,Niebieski,Naprzedniekoła,Diesel,200000km,Saab,93,150KM,34900,Automatyczna,2007
1560cm3,Czarny,Naprzedniekoła,Diesel,41280km,Peugeot,207,112KM,19900,Manualna,2011
2494cm3,Biały,Natylnekoła,Diesel,164000km,BMW,Seria3,170KM,46000,Automatyczna,1988
1781cm3,Czarny,Naprzedniekoła,Benzyna,216000km,Audi,A4,163KM,15900,Automatyczna,2004
1998cm3,Czarny,Naprzedniekoła,Benzyna,110000km,Renault,Megane,135KM,17900,Manualna,2008
1598cm3,Szary,Naprzedniekoła,Benzyna,132000km,Peugeot,207CC,120KM,15800,Manualna,2007
1598cm3,Czarny,Naprzedniekoła,Benzyna,236000km,Renault,Megane,111KM,10000,Manualna,2007
1781cm3,Niebieski,Naprzedniekoła,Benzyna,,Audi,A4,163KM,25999,Automatyczna,2005
2295cm3,Niebieski,Natylnekoła,Benzyna,125700km,MercedesBenz,SLK,193KM,32500,Manualna,1998
1781cm3,Czarny,Naprzedniekoła,Benzyna,153000km,Audi,A4,190KM,17800,Manualna,2003
1598cm3,Szary,Naprzedniekoła,Benzyna,85000km,Peugeot,308CC,156KM,23900,Manualna,2012
2521cm3,Czarny,Naprzedniekoła,Benzyna,162000km,Volvo,C70,230KM,48000,Automatyczna,2012
1998cm3,Czerwony,Natylnekoła,Benzyna,62800km,Opel,GT,264KM,90000,Manualna,2007
2000cm3,Czarny,Natylnekoła,Benzyna,124000km,Honda,S2000,240KM,99800,Manualna,2000
1998cm3,Czarny,Naprzedniekoła,Benzyna,163000km,Opel,Astra,200KM,14950,Manualna,2006
1560cm3,Czarny,Naprzedniekoła,Diesel,177100km,Peugeot,308CC,112KM,27999,Manualna,2009
2793cm3,Czarny,Natylnekoła,Benzyna,157000km,BMW,Z3,192KM,45000,Manualna,2001
1995cm3,Niebieski,Natylnekoła,Benzyna,168000km,BMW,Seria3,143KM,16500,Manualna,2002
1587cm3,Srebrny,Naprzedniekoła,Benzyna,185400km,Citroën,C3Pluriel,109KM,9900,Automatyczna,2003
3600cm3,Niebieski,4x4stały,Benzyna,74000km,Porsche,911,420KM,220000,Automatyczna,2004
1799cm3,Czerwony,Naprzedniekoła,Benzyna,70049km,MG,MGB,92KM,135000,Manualna,1976
1997cm3,Szary,Naprzedniekoła,Benzyna,117000km,Renault,Megane,140KM,28900,Automatyczna,2011
1598cm3,Czarny,Natylnekoła,BenzynaLPG,168000km,Mazda,MX5,110KM,18400,Manualna,2004
1493cm3,Biały,Natylnekoła,Benzyna,49000km,Triumph,Spitfire,71KM,41000,Manualna,1977
1598cm3,Biały,Naprzedniekoła,Benzyna,180123km,Peugeot,308CC,156KM,37900,Manualna,2013
3605cm3,Zielony,4x4dołączanyręcznie,Benzyna,92000km,Jeep,Wrangler,284KM,115000,Manualna,2014
1968cm3,Czarny,Naprzedniekoła,Diesel,230000km,Audi,A4,140KM,33000,Manualna,2009
7565cm3,Biały,Natylnekoła,Benzyna,1km,Lincoln,Continental,344KM,215000,Automatyczna,1966
1598cm3,Niebieski,Naprzedniekoła,Benzyna,120000km,Peugeot,207CC,120KM,17400,Manualna,2009
1991cm3,Niebieski,Natylnekoła,Benzyna,185000km,BMW,Z3,150KM,45000,Manualna,2000
2295cm3,Srebrny,Natylnekoła,Benzyna,189000km,MercedesBenz,SLK,193KM,13000,Automatyczna,1998
1496cm3,Czarny,Natylnekoła,Benzyna,29000km,Mazda,MX5,130KM,69000,Manualna,2015
1796cm3,Czarny,Naprzedniekoła,Benzyna,119330km,MercedesBenz,CLK,184KM,49600,Automatyczna,2008
1998cm3,Srebrny,Natylnekoła,Benzyna,198000km,MercedesBenz,CLK,136KM,19900,Manualna,1999
1298cm3,Zielony,4x4dołączanyręcznie,Benzyna,136000km,Suzuki,Jimny,80KM,20600,Manualna,2003
4297cm3,Biały,Natylnekoła,Benzyna,70000km,Ferrari,California,460KM,50000,Automatyczna,2013
1587cm3,Czarny,Naprzedniekoła,Benzyna,185000km,Peugeot,307CC,110KM,12900,Manualna,2005
1796cm3,Innykolor,Naprzedniekoła,Benzyna,167700km,Opel,Astra,140KM,17900,Manualna,2006
1997cm3,Czarny,Natylnekoła,Benzyna,153000km,BMW,Z4,245KM,84870,Automatyczna,2012
1991cm3,Biały,Naprzedniekoła,Benzyna,43000km,MercedesBenz,KlasaE,245KM,227550,Automatyczna,2018
2429cm3,Srebrny,Naprzedniekoła,BenzynaLPG,233000km,Chrysler,PTCruiser,143KM,11900,Manualna,2006
1998cm3,Czarny,Naprzedniekoła,Benzyna,180000km,Saab,93,150KM,19500,Manualna,2005
1598cm3,Biały,Natylnekoła,Benzyna,125000km,Mazda,MX5,110KM,13900,Manualna,2004
1984cm3,Szary,4x4dołączanyautomatycznie,Benzyna,49065km,Audi,A5,252KM,179900,Automatyczna,2017
4973cm3,Czarny,Natylnekoła,Benzyna,311000km,MercedesBenz,SL,307KM,96900,Automatyczna,1999
1970cm3,Czarny,Naprzedniekoła,Benzyna,165459km,AlfaRomeo,Spider,155KM,19800,Manualna,1999
1985cm3,Czarny,Naprzedniekoła,Benzyna,170000km,Saab,900,156KM,84870,Manualna,1991
4395cm3,Czarny,4x4stały,Benzyna,5km,BMW,Seria8,530KM,707700,Automatyczna,2022
1910cm3,Czarny,Naprzedniekoła,Diesel,256000km,Opel,Astra,150KM,18500,Manualna,2008
1598cm3,Beżowy,Naprzedniekoła,Benzyna,144000km,MINI,ONE,90KM,14999,Manualna,2007
1781cm3,Srebrny,Naprzedniekoła,Benzyna,210000km,Audi,A4,163KM,15999,Manualna,2003
1368cm3,Innykolor,Natylnekoła,Benzyna,24900km,Fiat,124Spider,140KM,66900,Automatyczna,2016
1587cm3,Srebrny,Naprzedniekoła,Benzyna,190000km,Peugeot,307CC,109KM,12500,Manualna,2006
1998cm3,Biały,Natylnekoła,Benzyna,1km,BMW,Seria4,258KM,309400,Automatyczna,2022
1998cm3,Czerwony,Natylnekoła,Benzyna,5km,Mazda,MX5,184KM,155700,Manualna,2022
1968cm3,Szary,Naprzedniekoła,Diesel,192123km,Volkswagen,Eos,140KM,44900,Manualna,2012
3199cm3,Czarny,Natylnekoła,Benzyna,135000km,MercedesBenz,CLK,218KM,45999,Automatyczna,2003
1596cm3,Czarny,Naprzedniekoła,Benzyna,131106km,Ford,Focus,100KM,19900,Manualna,2008
8285cm3,Czerwony,Natylnekoła,Benzyna,51140km,Dodge,Viper,506KM,219900,Manualna,2005
3199cm3,Czarny,Natylnekoła,Benzyna,210900km,MercedesBenz,CLK,217KM,32900,Automatyczna,2001
1598cm3,Srebrny,Naprzedniekoła,Diesel,117481km,Volkswagen,Beetle,105KM,57997,Manualna,2013
5461cm3,Czarny,4x4dołączanyautomatycznie,Benzyna,48500km,MercedesBenz,SL,564KM,298000,Automatyczna,2014
2979cm3,Czarny,Natylnekoła,Benzyna,86000km,BMW,Seria3,306KM,55000,Automatyczna,2008
1998cm3,Czarny,Naprzedniekoła,Benzyna,210876km,Renault,Megane,165KM,11900,Manualna,2006
3246cm3,Czarny,Natylnekoła,Benzyna,160000km,BMW,M3,343KM,84900,Automatyczna,2003
5700cm3,Biały,Natylnekoła,Benzyna,99999km,Chevrolet,Corvette,165KM,55000,Automatyczna,1975
1997cm3,Brązowy,Naprzedniekoła,Diesel,147479km,Peugeot,308CC,136KM,27500,Manualna,2009
4973cm3,Beżowy,Natylnekoła,Benzyna,136000km,MercedesBenz,SL,326KM,63000,Automatyczna,1991
4500cm3,Srebrny,Natylnekoła,Benzyna,180000km,MercedesBenz,SL,225KM,38500,Automatyczna,1974
2996cm3,Biały,Natylnekoła,Benzyna,91700km,BMW,Seria3,230KM,54900,Automatyczna,2011
1870cm3,Szary,Naprzedniekoła,Diesel,200000km,Renault,Megane,115KM,6500,Manualna,2004
3600cm3,Srebrny,4x4dołączanyautomatycznie,Benzyna,111000km,Porsche,911,420KM,249000,Automatyczna,2003
1997cm3,Czarny,Naprzedniekoła,Diesel,84000km,Peugeot,307CC,136KM,25900,Manualna,2007
1998cm3,Niebieski,Natylnekoła,Benzyna,119620km,MercedesBenz,SLK,192KM,19900,Manualna,1998
4663cm3,Czarny,Natylnekoła,Benzyna,15850km,MercedesBenz,KlasaS,455KM,474534,Automatyczna,2017
1910cm3,Czarny,Naprzedniekoła,Diesel,225000km,Opel,Astra,150KM,14999,Manualna,2007
4951cm3,Czarny,Natylnekoła,BenzynaLPG,110000km,Ford,Mustang,421KM,62000,Automatyczna,2016
4951cm3,Biały,Natylnekoła,Benzyna,88000km,Ford,Mustang,421KM,63000,Automatyczna,2016
3246cm3,Niebieski,Natylnekoła,Benzyna,88000km,BMW,Z4M,343KM,129000,Manualna,2006
5733cm3,Czarny,Natylnekoła,Benzyna,72000km,Chevrolet,Corvette,304KM,99900,Manualna,1994
1998cm3,Czarny,Naprzedniekoła,Benzyna,171000km,Renault,Megane,135KM,10400,Manualna,2004
4973cm3,Innykolor,Natylnekoła,Benzyna,56000km,MercedesBenz,SL,320KM,198900,Automatyczna,1998
1984cm3,Srebrny,Naprzedniekoła,Benzyna,173000km,Volkswagen,Eos,150KM,10500,Manualna,2006
2979cm3,Biały,Natylnekoła,Benzyna,60522km,BMW,Z3,231KM,75500,Automatyczna,2002
1998cm3,Czarny,Naprzedniekoła,Benzyna,149500km,Saab,93,150KM,24500,Manualna,2005
4966cm3,Srebrny,Natylnekoła,Benzyna,175000km,MercedesBenz,SL,306KM,199000,Automatyczna,2002
1840cm3,Czarny,Natylnekoła,Benzyna,169000km,Mazda,MX5,146KM,29000,Manualna,2000
1798cm3,Innykolor,Naprzedniekoła,Benzyna,158500km,Audi,A3,160KM,41900,Automatyczna,2008
2796cm3,Innykolor,Naprzedniekoła,Benzyna,197000km,Saab,93,250KM,42500,Manualna,2007
1796cm3,Czarny,Natylnekoła,Benzyna,4000km,MercedesBenz,SLK,204KM,110000,Automatyczna,2012
1796cm3,Czarny,Naprzedniekoła,Benzyna,167000km,Opel,Astra,140KM,16799,Manualna,2006
2993cm3,Biały,4x4stały,Diesel,188000km,BMW,Seria6,313KM,179000,Automatyczna,2013
1598cm3,Czarny,Naprzedniekoła,Benzyna,134250km,Renault,Megane,111KM,12990,Manualna,2006
1149cm3,Biały,Naprzedniekoła,Benzyna,80000km,Renault,Wind,102KM,26900,Manualna,2012
3800cm3,Srebrny,Natylnekoła,Benzyna,106000km,MercedesBenz,SL,245KM,64900,Automatyczna,2003
1599cm3,Innykolor,Naprzedniekoła,Benzyna,178927km,Ford,Streetka,95KM,7950,Manualna,2004
1991cm3,Czarny,Natylnekoła,Benzyna,175483km,BMW,Seria3,150KM,33999,Automatyczna,1997
1968cm3,Czarny,Naprzedniekoła,Diesel,221385km,Volkswagen,Eos,140KM,17800,Manualna,2007
1493cm3,Czarny,Natylnekoła,Benzyna,151800km,Triumph,Spitfire,54KM,59900,Manualna,1973
1984cm3,Niebieski,Naprzedniekoła,Benzyna,226000km,Volkswagen,Golf,115KM,9500,Manualna,1999
1870cm3,Szary,Naprzedniekoła,Diesel,232000km,Renault,Megane,120KM,5000,Manualna,2005
2995cm3,Czarny,4x4dołączanyautomatycznie,Benzyna,189271km,Audi,S5,333KM,79900,Automatyczna,2012
4196cm3,Srebrny,Natylnekoła,Benzyna,112500km,Jaguar,XK,298KM,79900,Automatyczna,2007
1598cm3,Innykolor,Natylnekoła,Benzyna,123456km,Mazda,MX5,116KM,33333,Manualna,1991
1781cm3,Zielony,Naprzedniekoła,BenzynaLPG,242200km,Audi,TT,180KM,17990,Manualna,2003
1796cm3,Czarny,Naprzedniekoła,Benzyna,133400km,Opel,Astra,140KM,19999,Manualna,2007
5447cm3,Szary,Natylnekoła,Benzyna,186400km,MercedesBenz,SL,231KM,135000,Automatyczna,1987
1998cm3,Niebieski,Natylnekoła,Benzyna,244000km,MercedesBenz,SLK,163KM,17190,Manualna,2003
1598cm3,Niebieski,Naprzedniekoła,Benzyna,157000km,Peugeot,207CC,150KM,16900,Manualna,2009
1598cm3,Żółty,Naprzedniekoła,Benzyna,195132km,Renault,Megane,110KM,7900,Manualna,2005
1997cm3,Czerwony,Naprzedniekoła,Benzyna,207000km,Peugeot,307CC,138KM,14900,Manualna,2005
5439cm3,Biały,Natylnekoła,Benzyna,98000km,MercedesBenz,SL,500KM,179900,Automatyczna,2004
5935cm3,Szary,Natylnekoła,Benzyna,34000km,AstonMartin,DB9,455KM,479900,Automatyczna,2007
1798cm3,Niebieski,Natylnekoła,Benzyna,87200km,Mazda,MX5,126KM,33000,Manualna,2007
2993cm3,Czarny,Natylnekoła,Diesel,275000km,BMW,Seria3,197KM,48900,Automatyczna,2008
2987cm3,Czarny,Natylnekoła,Diesel,133000km,MercedesBenz,CLK,224KM,26000,Manualna,2008
1995cm3,Czarny,Natylnekoła,Benzyna,212257km,BMW,Seria3,143KM,26900,Manualna,2002
1598cm3,Srebrny,Natylnekoła,Benzyna,124796km,Mazda,MX5,110KM,22900,Manualna,2002
4966cm3,Czarny,Natylnekoła,Benzyna,123000km,MercedesBenz,SL,306KM,109900,Automatyczna,2001
1781cm3,Srebrny,Naprzedniekoła,Benzyna,198345km,Audi,A4,163KM,38999,Automatyczna,2009
1950cm3,Czarny,Natylnekoła,Diesel,27500km,MercedesBenz,KlasaE,194KM,219000,Automatyczna,2018
2995cm3,Biały,4x4stały,Benzyna,48900km,Audi,S5,354KM,207000,Automatyczna,2018
1781cm3,Srebrny,Naprzedniekoła,BenzynaLPG,188000km,Audi,A4,163KM,21000,Manualna,2004
